waypoint1	waypoint2	distance_m	duration_s
Charging Bull, New York, New York	New York Public Library, 476 5th Ave, New York, NY 10018	6049	4637
The High Line, New York, NY	The Museum of Modern Art, New York, NY	3277	2457
Times Square New York, New York 10036	Charging Bull, New York, New York	6628	5084
Times Square New York, New York 10036	Battery Park, New York, NY	6700	5153
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	1 World Trade Center, New York, NY	6057	4599
336 East 50th Street, New York, NY 10022	Times Square New York, New York 10036	1766	1377
Times Square New York, New York 10036	New York Public Library, 476 5th Ave, New York, NY 10018	891	648
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	Battery Park, New York, NY	6805	5178
Times Square New York, New York 10036	1 World Trade Center, New York, NY	5971	4599
Empire State Building, New York, NY	Flatiron Building, New York, NY	878	665
The High Line, New York, NY	Flatiron Building, New York, NY	1513	1140
Empire State Building, New York, NY	Intrepid Sea, Air & Space Museum, New York, NY	2590	1979
The High Line, New York, NY	Grand Central Terminal, New York, NY	2911	2183
Empire State Building, New York, NY	Grand Central Terminal, New York, NY	993	774
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	39	38
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	Flatiron Building, New York, NY	2142	1604
Intrepid Sea, Air & Space Museum, New York, NY	1 World Trade Center, New York, NY	6100	4498
336 East 50th Street, New York, NY 10022	The Museum of Modern Art, New York, NY	1394	1113
The Museum of Modern Art, New York, NY	New York Public Library, 476 5th Ave, New York, NY 10018	1170	870
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	The High Line, New York, NY	2871	2145
Empire State Building, New York, NY	New York Public Library, 476 5th Ave, New York, NY 10018	617	449
Empire State Building, New York, NY	1 World Trade Center, New York, NY	4793	3712
Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	Battery Park, New York, NY	6847	5260
Times Square New York, New York 10036	Intrepid Sea, Air & Space Museum, New York, NY	1440	1101
Charging Bull, New York, New York	Flatiron Building, New York, NY	4547	3476
New York Public Library, 476 5th Ave, New York, NY 10018	Battery Park, New York, NY	6189	4753
Intrepid Sea, Air & Space Museum, New York, NY	Flatiron Building, New York, NY	3348	2570
Empire State Building, New York, NY	The High Line, New York, NY	1798	1330
336 East 50th Street, New York, NY 10022	1 World Trade Center, New York, NY	6866	5240
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	Times Square New York, New York 10036	423	314
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	Intrepid Sea, Air & Space Museum, New York, NY	1861	1416
Times Square New York, New York 10036	Empire State Building, New York, NY	1370	1039
336 East 50th Street, New York, NY 10022	Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	880	727
336 East 50th Street, New York, NY 10022	Flatiron Building, New York, NY	3071	2341
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	The Museum of Modern Art, New York, NY	359	261
Grand Central Terminal, New York, NY	New York Public Library, 476 5th Ave, New York, NY 10018	404	310
Flatiron Building, New York, NY	Grand Central Terminal, New York, NY	1792	1377
Empire State Building, New York, NY	The Museum of Modern Art, New York, NY	1759	1334
336 East 50th Street, New York, NY 10022	New York Public Library, 476 5th Ave, New York, NY 10018	1707	1333
Empire State Building, New York, NY	Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	1276	992
1 World Trade Center, New York, NY	New York Public Library, 476 5th Ave, New York, NY 10018	5410	4197
Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	The Museum of Modern Art, New York, NY	456	353
1 World Trade Center, New York, NY	Battery Park, New York, NY	1079	860
Flatiron Building, New York, NY	The Museum of Modern Art, New York, NY	2637	1975
Empire State Building, New York, NY	Charging Bull, New York, New York	5432	4152
The High Line, New York, NY	Charging Bull, New York, New York	4009	3055
The High Line, New York, NY	New York Public Library, 476 5th Ave, New York, NY 10018	2506	1856
336 East 50th Street, New York, NY 10022	Empire State Building, New York, NY	2272	1752
Intrepid Sea, Air & Space Museum, New York, NY	Battery Park, New York, NY	7008	5092
Times Square New York, New York 10036	Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	746	581
Times Square New York, New York 10036	Flatiron Building, New York, NY	2129	1614
Intrepid Sea, Air & Space Museum, New York, NY	New York Public Library, 476 5th Ave, New York, NY 10018	2108	1586
Times Square New York, New York 10036	Grand Central Terminal, New York, NY	1125	854
Flatiron Building, New York, NY	Battery Park, New York, NY	4687	3592
1 World Trade Center, New York, NY	The Museum of Modern Art, New York, NY	6502	5013
Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	Charging Bull, New York, New York	6708	5144
336 East 50th Street, New York, NY 10022	Charging Bull, New York, New York	7123	5420
Intrepid Sea, Air & Space Museum, New York, NY	Grand Central Terminal, New York, NY	2395	1815
Charging Bull, New York, New York	Battery Park, New York, NY	140	105
The High Line, New York, NY	Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	3194	2382
The Museum of Modern Art, New York, NY	Grand Central Terminal, New York, NY	1229	921
Intrepid Sea, Air & Space Museum, New York, NY	The High Line, New York, NY	1890	1453
1 World Trade Center, New York, NY	Charging Bull, New York, New York	988	788
336 East 50th Street, New York, NY 10022	Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	1035	853
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	New York Public Library, 476 5th Ave, New York, NY 10018	675	510
Times Square New York, New York 10036	The High Line, New York, NY	2423	1824
The Museum of Modern Art, New York, NY	Battery Park, New York, NY	7231	5566
1 World Trade Center, New York, NY	Flatiron Building, New York, NY	3915	3035
Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	1 World Trade Center, New York, NY	6069	4704
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	Grand Central Terminal, New York, NY	734	550
Grand Central Terminal, New York, NY	Battery Park, New York, NY	6170	4735
The High Line, New York, NY	1 World Trade Center, New York, NY	3182	2446
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	Empire State Building, New York, NY	1264	939
336 East 50th Street, New York, NY 10022	Battery Park, New York, NY	7262	5525
Intrepid Sea, Air & Space Museum, New York, NY	Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	2184	1650
Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	Flatiron Building, New York, NY	2154	1623
Intrepid Sea, Air & Space Museum, New York, NY	The Museum of Modern Art, New York, NY	2280	1710
Rockafeller Center, 45 Rockefeller Plaza, New York, NY 10111	Charging Bull, New York, New York	6696	5047
Times Square New York, New York 10036	The Museum of Modern Art, New York, NY	848	647
The High Line, New York, NY	Battery Park, New York, NY	4100	3026
Empire State Building, New York, NY	Battery Park, New York, NY	5571	4268
1 World Trade Center, New York, NY	Grand Central Terminal, New York, NY	5623	4334
Charging Bull, New York, New York	The Museum of Modern Art, New York, NY	7159	5498
336 East 50th Street, New York, NY 10022	The High Line, New York, NY	4190	3175
Flatiron Building, New York, NY	New York Public Library, 476 5th Ave, New York, NY 10018	1495	1114
Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	New York Public Library, 476 5th Ave, New York, NY 10018	687	527
Charging Bull, New York, New York	Grand Central Terminal, New York, NY	6030	4619
Intrepid Sea, Air & Space Museum, New York, NY	Charging Bull, New York, New York	7104	5212
336 East 50th Street, New York, NY 10022	Intrepid Sea, Air & Space Museum, New York, NY	3204	2493
336 East 50th Street, New York, NY 10022	Grand Central Terminal, New York, NY	1073	823
Saks Fifth Avenue, 611 5th Ave, New York, NY 10021	Grand Central Terminal, New York, NY	688	507
